,FEAT NUMBER,SUMMARY,Priority,STATUS,3.0 Commitment Status,Target Month,Comment,DRI ,Dev Resources required for max parallization,Dev Resources required for max parallization and 60% productivity ,Total Months Needed for 1 person by Dev (Everything from start to finish),Number of Months (Dev),"Num of QA required(rule: 3:1, 1 QA for 3 dev)","Num of QA required(rule: 3:1, 1 QA for 3 dev) with 60% productivity ",Total resources required,sizing (refer sheet 2 for guidance),Additional Resources,Sizing Comment,Dependency Numbers (Comma Separated List),DEPENDENCY,One line dependency description ,Resourcing done?,Any new software needed? 
,,Refresh HA -> HA,P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,1,1.666666667,?,,1,1.666666667,3.333333333,,,,,,,,
,,Restore HA (ECDR),P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,1,1.666666667,?,,1,1.666666667,3.333333333,,,,,,,,
,,Extend Storage SI,P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,2,3.333333333,?,,1,1.666666667,5,,,,,,,,
,,Extend Storage HA,P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,1,1.666666667,?,,1,1.666666667,3.333333333,,,,,,,,
,,Provision HA,P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,3,5,8 months/3 people,,1,1.666666667,6.666666667,,,,,,,,
,,Snapshot (for HA DBs),P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,2,3.333333333,4 months/2 people,,1,1.666666667,5,,,,,,,,
,,Clone/Restore/Refresh - PITR based,P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,1,1.666666667,6 months/1 people,,1,1.666666667,3.333333333,,,,,,,,
,,Curate DBServer,P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,1,1.666666667,3 month/1 people,,1,1.666666667,3.333333333,,,,,,,,
,,Curate Time Machine/DB,P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,1,1.666666667,5 months/1 people,,1,1.666666667,3.333333333,,,,,,,,
,,Curation Software Profiles,P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,1,1.666666667,3 month/1 people,,1,1.666666667,3.333333333,,,,,,,,
75,,Overall Upgrade feature for new services,P0,Not Started,Dropped,,,Rahul Khandelwal,,0,,#DIV/0!,0,0,0,,,,,,,,
76,,Remove NDB Agent dependency,P0,Not Started,Dropped,,,TBD,,0,,#DIV/0!,0,0,0,,,,,,,,
53,,Mandate PC for 3.0 for all underlying registered PEs [Upgrade Path],P0,Not Started,Approved,,,TBD,,0,,#DIV/0!,0,0,0,,,,,,,,
54,,"New PE registration - Add support for mandating PC registration
[New PE registration]",P0,Not Started,Approved,,,,,0,,#DIV/0!,0,0,0,,,,,,,,
,,Support for ESXi,P0,Not Started,Deferral Candidate,,,,,0,,,0,0,0,,,,,,,,
55,,Upgrade support for TM snapshots,P0,Not Started,Approved,,,,,0,,#DIV/0!,0,0,0,,,,,,,,
81,,Upgrade of existing Software Profiles,P0,Not Started,Dropped,,,TBD,,0,,#DIV/0!,0,0,0,,,,,,,,
56,,MSSQL Server existing DB migration to VGs,P0,Not Started,Approved,,,,,0,,#DIV/0!,0,0,0,,,Need more discussion,,,,,
57,,AOS auto curation of snapshots,P0,Not Started,Committed,,,Aleksandar Minic,3,5,9,3,1,1.666666667,6.666666667,XL (8-13 months),,,,,,,
59,IAMv2 ,"IAMv2 - User onboarding (Login, EULA , Password reset UX etc) ",P0,Not Started,Committed,,,,5,8.333333333,45,9,2,3.333333333,11.66666667,M (3-5 months),,,,"UI, UX,IAMv2","Working on POC, to determine actual changes",,
60,,IAMv2 - Session management,P0,Not Started,Committed,,,,,0,,,0,0,0,S (1-3 months),,,,"UI, Mercury team(Logout API)",ENG-861229,,
61,,IAMv2 - Design schema (ACPs etc) in IAMv2,P0,Not Started,Committed,,,,,0,,,0,0,0,S (1-3 months),,,,,,,
62,,IAMv2 - Framework (includes new internal authz component) use IAMv2,P0,Not Started,Committed,,,,,0,,,0,0,0,L (5-8 months),,,,,,,
63,,"IAMv2 - RBAC migration to IAMv2(existing Users, Roles, Policies migration to IAMv2)",P0,Not Started,Committed,,,,,0,,,0,0,0,M (3-5 months),,,,,,,
64,,IAMv2 - Entity Sharing functional equivalency,P0,Not Started,Committed,,,,,0,,,0,0,0,S (1-3 months),,,,UX/UI,,,
65,,IAMv2 - DR/Backup of IAMv2,P0,Not Started,Committed,,,,,0,,,0,0,0,S (1-3 months),,,,,,,
66,,IAMv2 - Scale testing,P0,Not Started,Committed,,,,,0,,,0,0,0,S (1-3 months),,,,QA,,,
